STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
24,005,400500,2418,39.256449,-76.749262
24,005,400600,2871,39.27946,-76.716874
24,005,400701,2789,39.284457,-76.723571
24,005,400702,1795,39.287471,-76.715323
24,005,400800,2712,39.279439000000004,-76.735277
24,005,400900,1944,39.278935,-76.748084
24,005,401000,2409,39.272902,-76.743014
24,005,401101,6487,39.298525,-76.732867
24,005,401102,962,39.31003,-76.723314
24,005,401200,3270,39.318316,-76.717653
24,005,401301,3891,39.296227,-76.721742
24,005,401302,2650,39.294128,-76.716501
24,005,401400,1495,39.26962,-76.764404
24,005,401503,6490,39.278339,-76.771583
24,005,401504,5846,39.296838,-76.763972
24,005,401505,4039,39.294472,-76.748208
24,005,401506,4523,39.312122,-76.773653
24,005,401507,5129,39.312198,-76.760589
24,005,402201,3441,39.382851,-76.849851
24,005,402202,1697,39.33155,-76.827773
24,005,402302,4990,39.353662,-76.776553
24,005,402303,6426,39.3458,-76.754671
24,005,402304,3593,39.341382,-76.737511
24,005,402305,1977,39.355743,-76.737471
24,005,402306,3798,39.362106,-76.767366
24,005,402307,5925,39.360094,-76.753891
24,005,402403,2283,39.332786,-76.717678
24,005,402404,5072,39.331589,-76.730928
24,005,402405,3433,39.323576,-76.736022
24,005,402406,6532,39.328816,-76.765802
24,005,402407,1371,39.333248,-76.767255
24,005,402503,4524,39.364491,-76.799107
24,005,402504,4177,39.366594,-76.824703
24,005,402505,3239,39.381711,-76.813154
24,005,402506,4304,39.376065,-76.798242
24,005,402509,8541,39.394787,-76.796928
24,005,402602,2045,39.367903,-76.780483
24,005,402603,6017,39.382812,-76.778975
24,005,402604,5966,39.372641,-76.768909
24,005,403100,2462,39.354646,-76.733612
24,005,403201,3076,39.35413,-76.721142
24,005,403202,2076,39.34357,-76.718662
24,005,403300,2443,39.366348,-76.735998
24,005,403401,3336,39.375809,-76.730777
24,005,403402,4442,39.364053,-76.716378
24,005,403500,4958,39.375974,-76.694972
24,005,403601,4682,39.384142,-76.675301
24,005,403602,5133,39.37814,-76.66627
24,005,403701,6819,39.401864,-76.743324
24,005,403702,5014,39.394566,-76.754843
24,005,403801,1738,39.428689,-76.711203
24,005,403802,2863,39.401073,-76.704845
24,005,403803,3131,39.389157,-76.698531
24,005,404101,4150,39.417435,-76.819969
24,005,404102,5311,39.425331,-76.796675
24,005,404201,5777,39.442092,-76.795197
24,005,404202,7920,39.427595,-76.782359
24,005,404402,6477,39.464389,-76.796818
24,005,404403,4960,39.445312,-76.820143
24,005,404404,4812,39.467231,-76.825563
24,005,404501,6676,39.458164,-76.811212
24,005,404502,3743,39.446573,-76.804521
24,005,404600,2682,39.515295,-76.826919
24,005,404800,1953,39.454278,-76.857934
24,005,404900,4745,39.45629,-76.761266
24,005,405000,4446,39.592914,-76.774716
24,005,406000,5789,39.673185,-76.72051
24,005,407001,3267,39.599321,-76.670775
24,005,407002,5497,39.671336,-76.630778
24,005,408100,5924,39.52367,-76.640666
24,005,408200,1853,39.524217,-76.694803
24,005,408302,2947,39.444668,-76.674749
24,005,408303,3494,39.467436,-76.716202
24,005,408304,4677,39.465733,-76.672614
24,005,408400,773,39.496872,-76.65941
24,005,408502,5586,39.465148,-76.60042
24,005,408503,3377,39.466672,-76.632828
24,005,408505,3853,39.451812,-76.619279
24,005,408506,4706,39.4691,-76.612247
24,005,408507,5966,39.46694,-76.620912
24,005,408601,3760,39.439445,-76.615531
24,005,408602,2094,39.426825,-76.612453
24,005,408702,2445,39.415427,-76.643371
24,005,408703,5944,39.446754,-76.64814
24,005,408704,5458,39.428532,-76.648603
24,005,408800,2304,39.424094,-76.629763
24,005,408900,2853,39.484733,-76.633119
24,005,410100,6029,39.539437,-76.590516
24,005,410200,4664,39.506783,-76.541893
24,005,411101,2261,39.453665,-76.436471
24,005,411102,3043,39.440937,-76.406202
24,005,411201,3205,39.49155,-76.478077
24,005,411202,3770,39.456834,-76.516299
24,005,411302,3310,39.397574,-76.41581
24,005,411303,6040,39.399687,-76.470107
24,005,411306,5455,39.384988,-76.481418
24,005,411307,3600,39.382492,-76.460512
24,005,411308,3546,39.393443,-76.456576
24,005,411309,7950,39.407867,-76.438637
24,005,411404,3784,39.400913,-76.508575
24,005,411406,4393,39.41592,-76.469975
24,005,411407,11137,39.388473,-76.51061
24,005,411408,3450,39.391533,-76.496072
24,005,411409,5282,39.414375,-76.488796
24,005,411410,4554,39.402387,-76.489496
24,005,420100,3623,39.277678,-76.497065
24,005,420200,2444,39.26089,-76.504042
24,005,420301,2355,39.275694,-76.484226
24,005,420302,2705,39.269733,-76.488037
24,005,420303,1333,39.266229,-76.487539
24,005,420401,6414,39.259457,-76.490321
24,005,420402,2115,39.262036,-76.488313
24,005,420500,3575,39.289099,-76.526187
24,005,420600,4289,39.285298,-76.510706
24,005,420701,2973,39.276585,-76.51449
24,005,420702,2071,39.276345,-76.525546
24,005,420800,3513,39.269334,-76.516425
24,005,420900,3505,39.26248,-76.522006
24,005,421000,1851,39.260371,-76.527179
24,005,421101,3185,39.255257,-76.516308
24,005,421102,2347,39.249583,-76.514883
24,005,421200,1839,39.249967,-76.50561
24,005,421300,3289,39.240226,-76.507087
24,005,430101,4221,39.238098,-76.645439
24,005,430104,2798,39.237438,-76.637423
24,005,430200,2852,39.248388,-76.658145
24,005,430300,5557,39.23895,-76.655548
24,005,430400,4407,39.244139,-76.680997
24,005,430600,2463,39.230818,-76.701272
24,005,430700,5009,39.241178,-76.702465
24,005,430800,3530,39.253755,-76.699493
24,005,430900,5074,39.262993,-76.694928
24,005,440100,4451,39.378392,-76.531538
24,005,440200,2486,39.367177,-76.52437
24,005,440300,2214,39.377136,-76.514053
24,005,440400,5486,39.349693,-76.523387
24,005,440500,3164,39.358843,-76.51249
24,005,440600,2273,39.372536,-76.485332
24,005,440701,6696,39.348066,-76.480721
24,005,440702,5178,39.362723,-76.462955
24,005,440800,2837,39.361208,-76.498413
24,005,440900,3435,39.341451,-76.502192
24,005,441000,3721,39.333658,-76.52533
24,005,441101,2162,39.333485,-76.506836
24,005,441102,4859,39.324427,-76.520337
24,005,450100,4047,39.319342,-76.504736
24,005,450200,3443,39.312134,-76.481804
24,005,450300,3486,39.317449,-76.468342
24,005,450400,2369,39.304696,-76.474627
24,005,450501,4135,39.30843,-76.460036
24,005,450503,5915,39.299446,-76.452499
24,005,450504,5733,39.302562,-76.445827
24,005,450800,3741,39.314043,-76.443386
24,005,450900,4032,39.300428,-76.419445
24,005,451000,1662,39.275154,-76.417327
24,005,451100,2130,39.290708,-76.444665
24,005,451200,3947,39.332752,-76.459746
24,005,451300,3667,39.341631,-76.456501
24,005,451401,3847,39.34682,-76.445334
24,005,451402,5489,39.341977,-76.440201
24,005,451500,3910,39.321945,-76.434287
24,005,451600,1956,39.325034,-76.417705
24,005,451701,2759,39.359845,-76.427101
24,005,451702,1862,39.374176,-76.37679
24,005,451801,5459,39.360018,-76.364256
24,005,451802,3629,39.326654,-76.394726
24,005,451803,4750,39.329867,-76.387756
24,005,451900,2445,39.223611,-76.429203
24,005,452000,2556,39.240157,-76.4477
24,005,452100,3505,39.226679,-76.450695
24,005,452300,3084,39.297131,-76.5146
24,005,452400,3593,39.268953,-76.468645
24,005,452500,3657,39.265283,-76.471663
24,005,490100,4162,39.419865,-76.569697
24,005,490200,2823,39.417568,-76.612225
24,005,490301,6984,39.409238,-76.611633
24,005,490302,3668,39.407685,-76.588871
24,005,490400,1864,39.400751,-76.654618
24,005,490500,3520,39.391232,-76.637276
24,005,490601,2120,39.376025,-76.614769
24,005,490602,2570,39.380501,-76.614331
24,005,490603,2253,39.380997,-76.620049
24,005,490605,5182,39.392941,-76.612523
24,005,490701,1927,39.404853,-76.624866
24,005,490703,2497,39.400258,-76.615147
24,005,490800,3345,39.389868,-76.598674
24,005,490900,4165,39.398363,-76.593799
24,005,491000,2241,39.379986,-76.599747
24,005,491100,3567,39.374295,-76.599102
24,005,491201,1792,39.395772,-76.573059
24,005,491202,1770,39.390355,-76.572767
24,005,491300,3331,39.383646,-76.584129
24,005,491401,5200,39.377053,-76.573068
24,005,491402,3110,39.378918,-76.565117
24,005,491500,3790,39.38761,-76.566313
