state,puma,led_code,total_employed_pre,total_unemployed_post,percent_change_imputed,state_imputation
24,00100,11,494,-22.19997112246962,0.0449392127985215,0
24,00100,21,357,-25.53510954259281,0.07152691748625437,0
24,00100,22,520,-16.117173348945286,0.03099456413258709,0
24,00100,23,3660,5.87693922685702,-0.0016057211002341585,0
24,00100,31,420,16.738110841828657,-0.039852644861496804,0
24,00100,32,1062,15.438375009178003,-0.014537076279828628,0
24,00100,33,1854,94.985942888380265,-0.05123297890419647,0
24,00100,42,777,4.75619494403064,-0.0061212290141964484,0
24,00100,44,3152,-28.565331826588654,0.00906260527493295,0
24,00100,45,1647,-50.66779504826463,0.030763688553894736,0
24,00100,48,1541,58.401592743910015,-0.037898502753997414,0
24,00100,49,490,-36.46214854352337,0.07441254804800687,0
24,00100,51,833,50.56071785922836,-0.06069714028718891,0
24,00100,52,1221,9.862240063040879,-0.008077182688813168,0
24,00100,53,1171,70.46394720168341,-0.06017416498862802,0
24,00100,54,1359,13.354334870847346,-0.009826589308938444,0
24,00100,55,23,3.664039684953888,-0.1593060732588647,0
24,00100,56,1779,131.16083938909208,-0.07372728464816868,0
24,00100,61,4161,206.90543698808514,-0.04972493078300532,0
24,00100,62,6927,398.4295350303503,-0.05751833911222034,0
24,00100,71,681,168.00580849161125,-0.2467045645985481,0
24,00100,72,3356,648.9160539433568,-0.19335996839790132,0
24,00100,81,2100,127.06584420973411,-0.060507544861778145,0
24,00100,92,2899,101.17411326632926,-0.034899659629641,0
24,00200,11,717,-1.6293556787133667,0.0022724625923477917,0
24,00200,21,26,2.6613619423807395,-0.10236007470695152,0
24,00200,22,341,-10.141430422231345,0.029740265167833856,0
24,00200,23,5197,8.344932557916923,-0.0016057211002341587,0
24,00200,31,846,304.2982433666674,-0.35969059499606076,0
24,00200,32,1697,64.72559109114547,-0.038141185086119904,0
24,00200,33,2962,198.48961624120818,-0.06701202438933429,0
24,00200,42,1331,7.210449379188676,-0.0054173173397360445,0
24,00200,44,5260,92.56174365204248,-0.017597289667688684,0
24,00200,45,2743,-72.71078937805585,0.02650776134817931,0
24,00200,48,2206,52.09884722398933,-0.02361688450770142,0
24,00200,49,2320,-230.4958749569707,0.09935167024007358,0
24,00200,51,1127,75.37268534158072,-0.06687904644328369,0
24,00200,52,3300,27.204096411294838,-0.008243665579180253,0
24,00200,53,955,55.59449314679764,-0.05821412894952632,0
24,00200,54,4365,65.4343606079415,-0.014990689715450515,0
24,00200,55,12,1.9116728791063764,-0.1593060732588647,0
24,00200,56,3159,243.8647148801559,-0.07719680749609241,0
24,00200,61,4999,246.79673418977336,-0.04936922068209109,0
24,00200,62,9070,592.3214255229434,-0.06530555959459133,0
24,00200,71,1187,328.434536310844,-0.27669295392657456,0
24,00200,72,4120,741.3675963604786,-0.17994359134963073,0
24,00200,81,3782,260.2477130939944,-0.0688121927800091,0
24,00200,92,5320,182.70298970006323,-0.03434266723685399,0
24,00301,11,721,-0.6110083795175125,8.474457413557733e-4,0
24,00301,21,90,-9.835340262398919,0.1092815584710991,0
24,00301,22,377,-41.930911395702694,0.11122257664642625,0
24,00301,23,6013,9.655200975707997,-0.0016057211002341587,0
24,00301,31,257,10.462031988872457,-0.040708295676546526,0
24,00301,32,1625,47.46557872216513,-0.02920958690594777,0
24,00301,33,2000,85.79673089643948,-0.04289836544821974,0
24,00301,42,1553,-2.255287223367195,0.0014522132796955538,0
24,00301,44,4935,14.723819157908286,-0.002983549981339065,0
24,00301,45,1676,-21.33768624783939,0.012731316376992477,0
24,00301,48,1322,109.629590366369,-0.08292707289437898,0
24,00301,49,697,-44.56197375943241,0.0639339652215673,0
24,00301,51,1647,129.06335004807534,-0.07836268976810888,0
24,00301,52,2907,16.476021274847753,-0.005667705976899811,0
24,00301,53,1151,40.008926608278436,-0.034760144750893514,0
24,00301,54,8683,37.16968911964314,-0.0042807427294302815,0
24,00301,55,42,6.690855076872317,-0.1593060732588647,0
24,00301,56,2772,195.8579826067886,-0.07065583788123686,0
24,00301,61,6780,332.7540752280557,-0.049078772157530336,0
24,00301,62,7383,482.58362510882756,-0.06536416431109679,0
24,00301,71,1184,302.12455544240873,-0.2551727664209533,0
24,00301,72,3000,542.8058568919024,-0.18093528563063413,0
24,00301,81,3446,249.5801146726266,-0.07242603443779065,0
24,00301,92,6830,233.10951569409684,-0.03413023655843292,0
24,00302,11,320,0,-0,0
24,00302,21,104,-11.85302075785711,0.11397135344093375,0
24,00302,22,231,-7.180242334107225,0.031083300147650327,0
24,00302,23,4586,7.363836965673852,-0.0016057211002341587,0
24,00302,31,504,16.316010584250122,-0.032373036873512145,0
24,00302,32,1119,24.596868505639282,-0.021981115733368438,0
24,00302,33,2191,90.0899856040271,-0.041118204292116434,0
24,00302,42,1053,3.078136354950581,-0.002923206414957817,0
24,00302,44,4304,-40.998169471606296,0.009525596996191054,0
24,00302,45,2636,-76.42388137182554,0.028992367743484654,0
24,00302,48,1513,135.73947905703957,-0.08971545211965604,0
24,00302,49,677,-46.36379337078658,0.06848418518579998,0
24,00302,51,1676,129.69388396719077,-0.07738298566061502,0
24,00302,52,3017,21.411677188128674,-0.007097009343098665,0
24,00302,53,1172,47.9707355639006,-0.04093066174394249,0
24,00302,54,7762,81.33598361944765,-0.010478740481763418,0
24,00302,55,59,9.399058322273017,-0.1593060732588647,0
24,00302,56,3314,222.7376396091398,-0.0672111163576161,0
24,00302,61,6354,336.0406879038369,-0.05288647905316917,0
24,00302,62,8786,558.1053047544572,-0.06352211526911646,0
24,00302,71,1401,387.30428282047876,-0.2764484531195423,0
24,00302,72,4933,904.488763436774,-0.1833547057443288,0
24,00302,81,2775,268.8966807732395,-0.09689970478314937,0
24,00302,92,5685,173.55206540768563,-0.03052806779378815,0
24,00400,11,802,-4.175223926703002,0.0052060148712007506,0
24,00400,21,64,-2.8148811769808573,0.043982518390325895,0
24,00400,22,645,-15.466802736547308,0.023979539126429934,0
24,00400,23,8929,14.337483703990802,-0.0016057211002341587,0
24,00400,31,744,34.00304285314571,-0.04570301458756144,0
24,00400,32,1504,53.248225580805816,-0.035404405306386846,0
24,00400,33,3139,161.56054195778952,-0.05146879323280966,0
24,00400,42,2059,19.748139440377933,-0.009591131345496811,0
24,00400,44,6413,-62.97016305970209,0.009819142844176218,0
24,00400,45,2460,-51.40740325302446,0.0208973183955384,0
24,00400,48,1742,240.06047823336434,-0.13780739278608745,0
24,00400,49,750,-62.20876317316722,0.08294501756422296,0
24,00400,51,2135,124.9980399399388,-0.05854709130676291,0
24,00400,52,4600,17.338463407050153,-0.0037692311754456854,0
24,00400,53,1581,79.12884150852368,-0.050049868126833444,0
24,00400,54,7969,77.05504154330563,-0.00966934891997812,0
24,00400,55,82,13.063098007226905,-0.1593060732588647,0
24,00400,56,3582,251.8872519577624,-0.07032028251193814,0
24,00400,61,9486,439.9834505301305,-0.046382400435392206,0
24,00400,62,10839,654.2357872500725,-0.0603594231248337,0
24,00400,71,1453,402.7038480088803,-0.2771533709627531,0
24,00400,72,4669,824.1817257259614,-0.17652210874404828,0
24,00400,81,4616,338.34760052077274,-0.07329887359635458,0
24,00400,92,7241,250.62648498949704,-0.03461213713430424,0
24,00501,11,539,0,-0,0
24,00501,21,7,-0.7649709092976937,0.1092815584710991,0
24,00501,22,454,-42.77332270791076,0.09421436719804131,0
24,00501,23,4145,6.655713960470588,-0.0016057211002341587,0
24,00501,31,717,31.49247973428423,-0.04392256587766281,0
24,00501,32,1085,17.221332964368628,-0.01587219628052408,0
24,00501,33,2495,128.90568683912403,-0.0516656059475447,0
24,00501,42,1243,-5.464950787168468,0.004396581486056692,0
24,00501,44,4590,15.649359278056235,-0.0034094464658074586,0
24,00501,45,1196,-8.766008573490142,0.007329438606597108,0
24,00501,48,1329,69.48474132569481,-0.052283477295481426,0
24,00501,49,488,-50.30643039685838,0.10308694753454586,0
24,00501,51,1122,110.57923504547682,-0.09855546795497043,0
24,00501,52,4182,12.956044465923295,-0.003098049848379554,0
24,00501,53,1667,69.22033191249807,-0.041523894368625115,0
24,00501,54,6542,82.25474036803651,-0.01257333237053447,0
24,00501,55,56,8.921140102496423,-0.1593060732588647,0
24,00501,56,2383,183.7539986802461,-0.07711036453220567,0
24,00501,61,5802,297.19144288364424,-0.05122224110369601,0
24,00501,62,9700,525.0781643416477,-0.0541317695197575,0
24,00501,71,1409,421.2891586857712,-0.2989986931765587,0
24,00501,72,2297,399.0732734699699,-0.17373673202872,0
24,00501,81,3138,230.3019859926019,-0.07339132759483809,0
24,00501,92,4336,142.572825832121,-0.0328811867694006,0
24,00502,11,22,0,-0,0
24,00502,21,23,-1.1999022976888383,0.05216966511690601,0
24,00502,22,438,-13.649929936635068,0.031164223599623442,0
24,00502,23,3032,4.868546375909969,-0.0016057211002341587,0
24,00502,31,769,21.951541589560275,-0.02854556773674938,0
24,00502,32,936,14.893857858901164,-0.015912241302244834,0
24,00502,33,1248,60.40904160017543,-0.048404680769371336,0
24,00502,42,1232,10.095987770304534,-0.00819479526810433,0
24,00502,44,5694,13.231395653625517,-0.0023237435289121034,0
24,00502,45,1603,-72.37306129354197,0.04514850985249031,0
24,00502,48,1821,199.28539969432993,-0.10943734195185609,0
24,00502,49,1814,-105.19058011266208,0.057988191903341826,0
24,00502,51,1455,174.25177334594565,-0.11976066896628568,0
24,00502,52,4586,16.30986761101525,-0.0035564473639370367,0
24,00502,53,1439,66.66647896073641,-0.04632833840217958,0
24,00502,54,5365,74.26003768800867,-0.013841572728426592,0
24,00502,55,25,3.9826518314716175,-0.1593060732588647,0
24,00502,56,3826,333.6260061868654,-0.0871996879735665,0
24,00502,61,5919,307.287010657483,-0.05191535912442693,0
24,00502,62,14633,757.0856876439647,-0.05173824148458721,0
24,00502,71,1359,358.2697422582553,-0.2636274777470606,0
24,00502,72,3974,722.7819707042598,-0.18187769771118767,0
24,00502,81,2994,240.53485728612634,-0.08033896368942095,0
24,00502,92,7659,271.07107045838853,-0.03539248863538171,0
24,00503,11,47,0,-0,0
24,00503,21,17,-1.8577864940086848,0.1092815584710991,0
24,00503,22,174,-7.330405362103424,0.04212876644887026,0
24,00503,23,2478,3.978976886380245,-0.0016057211002341587,0
24,00503,31,532,42.35789129395372,-0.07962009641720624,0
24,00503,32,932,11.629405048013009,-0.012477902412031125,0
24,00503,33,1539,68.92798906400527,-0.04478751726056223,0
24,00503,42,1197,16.986552168706567,-0.014190937484299554,0
24,00503,44,3570,60.32749831307416,-0.016898458911225253,0
24,00503,45,1876,8.271933349075969,-0.004409346134901902,0
24,00503,48,1402,163.17699253644201,-0.11638872506165622,0
24,00503,49,828,-75.87473554471407,0.09163615403950974,0
24,00503,51,1578,96.8209664548509,-0.06135675947709183,0
24,00503,52,4158,11.843705375638969,-0.002848413991255163,0
24,00503,53,1522,50.63868433117145,-0.033271146078299244,0
24,00503,54,6067,95.1198272990338,-0.015678230970666524,0
24,00503,55,33,5.257100417542535,-0.1593060732588647,0
24,00503,56,2071,172.53328335555418,-0.08330916627501408,0
24,00503,61,6782,380.5053614176217,-0.05610518452043965,0
24,00503,62,11982,650.575843103566,-0.054296097738571684,0
24,00503,71,1319,347.0508488821484,-0.2631166405474969,0
24,00503,72,3075,573.6308706874432,-0.18654662461380267,0
24,00503,81,2747,241.399753702831,-0.08787759508657844,0
24,00503,92,4391,157.0537111691324,-0.035767185417702664,0
24,00504,11,97,0,-0,0
24,00504,21,18,1.8424813447251274,-0.10236007470695152,0
24,00504,22,441,-12.174814190059115,0.02760728841283246,0
24,00504,23,2005,3.2194708059694883,-0.0016057211002341587,0
24,00504,31,511,33.422732322506754,-0.06540652117907388,0
24,00504,32,678,14.859969425578822,-0.021917359034777022,0
24,00504,33,1373,77.75212147421273,-0.056629367424772564,0
24,00504,42,1143,8.569152981152278,-0.007497071724542676,0
24,00504,44,4674,135.62931567545454,-0.0290178253477652,0
24,00504,45,1375,8.022351803617944,-0.005834437675358505,0
24,00504,48,1417,160.36815131103518,-0.11317441870926971,0
24,00504,49,638,-70.81767184587777,0.11099948565184603,0
24,00504,51,1342,81.27359184778138,-0.060561543850805796,0
24,00504,52,3325,10.41111394676654,-0.0031311620892530943,0
24,00504,53,1542,82.33122978670374,-0.05339249661913343,0
24,00504,54,5710,91.68957455784826,-0.016057718836751007,0
24,00504,55,45,7.1687732966489115,-0.1593060732588647,0
24,00504,56,1706,141.3105310405733,-0.08283149533445093,0
24,00504,61,8621,421.8559424274396,-0.048933527714585263,0
24,00504,62,9845,494.787173775495,-0.05025771191218842,0
24,00504,71,1438,400.6800619255865,-0.27863703889122843,0
24,00504,72,3824,681.9293184873826,-0.17832879667557078,0
24,00504,81,2767,219.95921756509088,-0.07949375408929919,0
24,00504,92,4550,153.520597788865,-0.03374079072282747,0
24,00505,11,110,0,-0,0
24,00505,22,284,-9.094615109139257,0.03202329263781428,0
24,00505,23,3736,5.998974030474817,-0.0016057211002341587,0
24,00505,31,637,38.92956231101342,-0.06111391257615922,0
24,00505,32,942,37.79924910985525,-0.04012659141173594,0
24,00505,33,1692,92.80083419246411,-0.05484682871895042,0
24,00505,42,1630,2.8449368093215543,-0.001745360005718745,0
24,00505,44,5223,-5.6619269944334505,0.0010840373337992438,0
24,00505,45,1806,-8.711685030941325,0.004823745864308597,0
24,00505,48,2402,254.1288150766594,-0.10579884058145687,0
24,00505,49,1016,-78.30992283771099,0.07707669570640845,0
24,00505,51,871,62.857113919213766,-0.07216660610701925,0
