state,industry,reference,percent_change_state_imputed
24,10113300,54.5,0.09102086308844937
24,10211000,156.6,0.15874907849145126
24,10212100,50.4,0.05940589294136911
24,10212200,40.8,0.15767853533165865
24,10212300,97.4,0.12767289858003794
24,10213000,314.5,-0.0994226835342662
24,10210000,659.7,0.02342633513370751
24,20000000,7639,-2.6126143934490642e-5
24,30000000,12852,-0.03386817108323448
24,31327100,40.7,-0.04752215413934857
24,31327200,84.8,-0.10353195896990797
24,31331300,57.8,-0.03403298211182104
24,31331400,61.2,-0.06248357803646554
24,31331500,115.9,-0.14262647787687333
24,31332100,100.3,-0.09215803563575653
24,31332200,34.4,-0.10366711305466259
24,31332700,358,-0.06269335704582801
24,31332800,140.3,-0.07642689690654147
24,31332994,45.4,-0.004304855089290127
24,31333110,75.9,-0.0036349710175762606
24,31333300,95.4,-0.04601529600659704
24,31333500,176.8,-0.07699820198950291
24,31333600,97.7,-0.04777806184305777
24,31335200,61.8,-0.061092629516463104
24,31336419,88.1,0.0218731137472038
24,31336900,60.8,-0.03020212969625169
24,31336600,142.9,-0.05629923477525445
24,31321100,92.9,-0.01842729724783365
24,31321200,84.2,-0.06106758422665537
24,31321990,69,0.019289743047949615
24,31339100,330.7,-0.018276096968848354
24,31339920,43.5,0.0056710162601435465
24,31327300,201.9,-0.03895732833826715
24,31327900,98.1,-0.036935253644191035
24,31331100,83.5,-0.0495956284454514
24,31331200,54.8,-0.06396251511007833
24,31332300,404.6,-0.02723934632553593
24,31332400,95.3,-0.02225651250316052
24,31332600,67.7,-0.05685920539089295
24,31332900,283.4,-0.050818398935412845
24,31333120,69.2,-0.052598468774740725
24,31333130,69.6,-0.14994249907173096
24,31335100,47,-0.08360175297580352
24,31335300,145.7,-0.06637457384059409
24,31335900,149.5,-0.022454666944351165
24,31336100,243.1,-0.2132692560683317
24,31336200,168,-0.04104172869374556
24,31336300,587.7,-0.04030003589615694
24,31336411,245.1,-0.04420151770114766
24,31336412,91.2,-0.14423721741555007
24,31336413,115.7,-0.07180530032810362
24,31321900,233.6,-0.033003288518458906
24,31339900,292.2,-0.059985477874719306
24,31334100,169.3,0.014936306627160834
24,31334500,433.1,-0.005360914617283052
24,31337000,386.4,-0.0761548872915323
24,31321000,410.6,-0.04083012395474006
24,31327000,425.6,-0.054517914424582425
24,31331000,372.7,-0.08015624051886283
24,31332000,1483.9,-0.054162311909973226
24,31333000,1109.9,-0.054069074625291424
24,31334000,1098.2,1.478373250338727e-4
24,31335000,404.5,-0.05693631363645624
24,31336000,1742.9,-0.07170453343351968
24,31339000,622.9,-0.03864450457953306
24,31334200,84.6,-0.011656994394009357
24,31334400,378,-0.0037486301026664615
24,31334600,33.2,0.07104259830301984
24,32311300,81.4,-0.01738992002121431
24,32311400,174,-0.02651754294194064
24,32311500,155.7,0.02683217911417979
24,32311600,535.5,0.05863973836138525
24,32311811,86.1,-0.09008837076844556
24,32329100,287.4,-0.035147235648972375
24,32329900,37.9,-0.0013366914743782043
24,32322100,95.5,0.008222869876280292
24,32322210,150.1,0.01898358437377068
24,32324110,68.4,0.009524789133977585
24,32324190,45.6,-0.11913018162625633
24,32325200,94.2,0.01122513227343791
24,32325300,37.3,0.060165553372804714
24,32325400,308.2,0.052361874483186854
24,32325500,65.1,0.009503136715403926
24,32325600,111.2,0.0431467287542151
24,32326100,608.3,0.007629211641464462
24,32326210,58.8,0.06403347645440927
24,32326290,78.9,0.017041675931918854
24,32311100,63.7,0.0723600983002326
24,32311200,60,0.05175831912702478
24,32311800,314.9,-0.010961062687307566
24,32311700,34.9,-0.06525218708118907
24,32311900,234.1,0.02049105442533039
24,32322220,55.7,0.030659821759499106
24,32322290,61.8,0.025073375645608853
24,32325100,153.4,0.0233660734870339
24,32325900,81.6,-0.035117130746419534
24,32313000,106.5,-0.07521190380535003
24,32314000,111.3,-0.03952102899675003
24,32315000,105,-0.139772601323794
24,32323000,417.2,-0.09162942459001322
24,32311000,1655.4,0.017880102381827245
24,32322000,363.6,0.016259144707951978
24,32324000,114.3,-0.04870148521330786
24,32325000,851.1,0.029232551671489304
24,32326000,746.2,0.012812049797442326
24,41423100,363.2,-0.04094546860125314
24,41423200,115.2,-0.01061706062279022
24,41423300,247.3,0.050610516656268034
