county_fips,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X000,total_li_workers_employed,low_income_worker_job_loss_rate
24001,-1.454031870271379,-8.264381283324758,-2.790211256712431,8.53713223132604,115.13283619939777,2.554106184427174,-49.3382361738466,11.489396022704248,36.916073791345475,5.34119950182244,15.226751716104268,16.84310061577794,27.282606228178864,85.69522650138799,220.8150317542954,289.9196488481663,88.18212863550932,641.5621160309338,54.41732478452504,104.19766551519868,1662.2654839769455,26350,0.06308
24003,0,-0.8846647148979486,-29.932708927821665,147.17221814970623,555.5711928626408,-45.177519109603935,346.2364994008756,725.7245868073494,482.7907201975493,52.919338510218516,210.85256016941403,585.3935714578955,288.26685644497076,1453.505422399808,1822.2690422625842,1867.2805926109675,1748.2355358263317,5139.873968892876,1156.3599910586054,440.0911117549887,16946.548316054457,253863,0.06675
24005,0,-3.118595545996986,-98.94827805197623,167.91546409223983,964.1577538207872,-2.7650397152973762,162.58945257061882,559.3810664105766,669.8601407264105,39.62013944651272,350.720870611147,684.8975227389435,493.292739844817,2454.5873257292437,3494.7382058172275,3524.4618424436276,2440.7348198673585,7185.327404475528,1252.392901610505,930.2343679686641,25270.08010486094,399047,0.06333
24009,-0.23329521999950528,-1.0440067387906942,-38.42085659996294,33.25907886957531,50.19227334398158,-16.407803333099054,-85.42838629420888,94.90298896404697,25.595833014153648,4.896350318595453,17.91874525174639,67.53050726551128,29.256241572344997,130.65924348251554,281.4142297848179,288.6407458664335,167.85894816091943,753.7942217180507,136.7775221052381,100.2689929303613,2041.431574462231,34667,0.05889
24011,-0.15920014597465731,-0.044807770924490745,-17.971834723911044,10.816347999131228,68.58368553648786,-4.247494456205877,0.910924960552748,4.652303899765195,16.409789314212343,2.1863814393152095,6.589234888047271,16.695122219137563,11.49352347484982,47.44828451128272,125.86891044700954,121.90610922759355,85.99411875832311,316.09467653453476,49.328327616862495,55.74990925208515,918.3043129821746,16237,0.05656
24013,-2.0072832514318857,-2.2561070826673015,-10.162683631361412,61.832661909864704,268.9488559549305,27.68552321858583,-107.10936925258363,160.9626571502382,93.37162601312916,7.944910866712704,57.804855268821036,140.79602430548707,89.62626386448547,372.2487686929709,673.869300911768,705.4137022681641,489.83701266007904,1446.3064165019302,270.5784925173457,189.33706210188515,4935.028690988353,85622,0.05764
24015,-1.2315867215745824,-8.354836315581446,-19.155812846575657,26.7629168554128,187.29841086552966,-6.5690241647915615,-54.83672315311833,43.28442529887866,43.99036559074839,24.01654055458577,33.841833581574456,34.702221211172656,63.969004390325765,193.9512608309972,309.7742904982589,370.5260798167158,330.3466154253169,918.1700585322639,93.71650137525863,93.101278406397725,2677.3038200317956,45494,0.05885
24017,0,1.0530535499529183,-31.374970628821476,41.923275394576905,82.75434942906689,14.06868544726822,46.18481930374018,368.9360874796366,155.37650998074747,10.604923605193541,39.100672343811176,137.74628250337506,70.23819901297112,426.7974211987952,494.3927002506539,550.7863296957237,312.7219387713583,1597.8893605535914,309.8533310155576,151.73368991075722,4780.786658817956,68102,0.0702
24019,-0.0733813172851936,-0.03360582819336806,-10.356650518863992,7.607974583823579,87.84746184622895,-3.789131745104524,0.7820783675693104,4.483365489997185,14.300900727646903,2.299372728168709,7.325462249840261,14.19936215919854,16.36956373690732,46.45590209013171,95.97979757349005,154.38607358853108,93.60129080232862,365.1749040876178,44.386825553310366,48.50012681436544,989.4476929897088,15629,0.06331
24021,-0.26200905969287164,-13.289451134469108,-24.802874785627505,79.90755768521176,297.0696121166813,-13.127265731456086,-103.90371530042606,113.72696378755664,175.12949196649262,30.788210346335223,59.25421738867854,202.34543548730198,143.1466105504023,565.4725328921561,1094.7901527555707,950.4597233537904,672.9047213252826,2385.6130889887822,459.25084348758895,240.86500623146569,7315.338852351626,122312,0.05981
24023,-2.706114869671733,-11.937439631469095,-2.129371748543697,6.186442798328359,44.937050863540456,1.3550410673106,-24.769180032361678,6.359104215774812,16.513154280422928,1.6245122908768712,16.68851988085028,7.650048592122863,21.593892589111782,34.11006074467012,85.361366442054,112.49086904161655,74.75647583287123,275.2188437342337,24.16995426886478,41.40304590007894,728.8762762606821,12050,0.06049
24025,-1.6167055765160523,-3.6050249322395524,-24.004909562239042,66.31961978028258,343.61747384147105,-20.398539319689473,-120.52922707070701,211.02799958906667,220.63308588649426,15.489540877478406,96.15692403352612,186.48180824096585,118.88250543683046,592.762101160371,941.4582185886659,935.1595105115367,766.8488869719346,2193.6184122217023,376.938095050408,227.37017170890982,7122.609947438253,118975,0.05987
24027,0,0.25487612212482236,-123.19864984649374,52.58873454496842,226.58619214225513,-39.53838534015361,151.29419824223746,151.70866006794515,337.5688805802284,25.003327969462585,116.11002776958397,439.97347868892075,252.62532405326473,1022.7057230711935,1419.0222826252343,1087.909029665111,1030.9686935486247,2587.4439559681864,513.8426665104159,215.69118154124087,9468.560197924351,147000,0.06441
24029,-0.13059386974483608,-0.011201942731122686,-3.1983773661197623,3.883402475459009,42.93733273857954,-1.9067888781816313,0.3853126685409468,1.280033335549921,4.810902088102415,1.4462884973247898,3.5338913366063576,7.487280179817073,11.145234884702855,25.677895147282413,82.5182887220576,68.17757005108942,82.68665265223376,158.49761558426815,22.71357088860804,23.26354237926516,535.1978515727101,8175,0.06547
