IND,state,led_code,percent_change_state_imputed
0270,24,11,0.0919160665306511
0370,24,21,0.16539140837043453
0380,24,21,0.04641220749468189
0390,24,21,0.16347569955817398
0470,24,21,0.1337015722481123
0490,24,21,-0.1188772416182966
0770,24,23,-0.00398817660665074
1080,24,31,-0.011725761319730688
1090,24,31,0.001344362095220486
1170,24,31,0.01635776098344488
1180,24,31,0.054259781136400065
1190,24,31,-0.08393338230783931
1370,24,31,-0.020125011812987648
1390,24,31,0.005044692734928913
1470,24,31,-0.0493852999001988
1480,24,31,-0.0493852999001988
1490,24,31,-0.0493852999001988
1570,24,31,-0.020138118699788765
1590,24,31,-0.020138118699788765
1670,24,31,-0.1345496191490252
1691,24,31,-0.1345496191490252
1870,24,32,0.007627907504163756
1880,24,32,0.032382085347207434
1990,24,32,-0.07990915893809514
2070,24,32,0.004226915363108152
2090,24,32,-0.11200115481233042
2170,24,32,0.0016992068363799184
2180,24,32,0.05918627160644885
2190,24,32,0.04764298558869995
2270,24,32,0.001625826343850223
2280,24,32,0.03950335841957198
2370,24,32,0.013418812542777991
2380,24,32,0.06549798713551491
2390,24,32,0.006232836208223791
2470,24,32,-0.02240050567787155
2480,24,32,-0.02240050567787155
2490,24,32,-0.05551209067624885
2680,24,33,-0.048403266479711715
2690,24,33,-0.07944901811369864
2770,24,33,-0.12676696743895655
2780,24,33,-0.0583844657536684
2790,24,33,-0.0909988319573829
2880,24,33,-0.05276640373859631
2890,24,33,-0.06957256929763389
2970,24,33,0.042197049612128446
3070,24,33,0.010896065326100324
3095,24,33,-0.03406130161650045
3170,24,33,-0.04551225355024924
3180,24,33,-0.05093042349518184
3365,24,33,0.0183615467518059
3380,24,33,0.009152671547114744
3470,24,33,-0.023786811396419694
3590,24,33,0.045347461017696156
3670,24,33,-0.006218119363449515
3680,24,33,-0.03116080103263308
3690,24,33,-0.006218119363449515
3770,24,32,-0.005404463635586554
3780,24,32,-0.058844808910177515
3790,24,32,0.037736829011954076
3895,24,33,-0.06767243925072053
3960,24,33,-6.083826810701076e-4
3970,24,33,0.031204316956410905
4070,24,42,-0.024588817452435907
4080,24,42,-0.008680838989391315
4090,24,42,0.05914613679350844
4170,24,42,0.020700423375788368
4180,24,42,-0.03733302704860719
4195,24,42,0.02589610196830272
4265,24,42,0.026912137406693848
4270,24,42,-0.00238698441309404
4280,24,42,-0.053494207044946895
4370,24,42,0.03438526288894017
4390,24,42,-0.09021300568853174
4470,24,42,-0.016571194545762835
4480,24,42,0.07492272198663807
4490,24,42,0.02195856512221883
4560,24,42,0.04192502611786808
4570,24,42,0.038921597699035915
4670,24,44,-0.006499710837148176
4680,24,44,0.005437017199220517
4690,24,44,0.04017375392117151
4770,24,44,-0.05569764810037947
4780,24,44,0.05613971807407914
4795,24,44,-0.03429304707192504
4880,24,44,0.07446047357333574
4890,24,44,0.09047582530440434
4971,24,44,0.0986664068904527
4972,24,44,0.01384456998444572
4980,24,44,-0.008918656748595821
4990,24,44,0.05728747434290837
5070,24,44,0.06438609145886043
5090,24,44,0.03826859198052357
5170,24,44,-0.2015170945257314
5180,24,44,-0.16073815345167108
5190,24,44,-0.11412166731251205
5280,24,45,0.17989087254139946
5295,24,45,-0.15871435784465293
5370,24,45,-0.3457944908264252
5381,24,45,0.049226364991712734
5391,24,45,0.17190488066117948
5470,24,45,-0.09171936000136582
5480,24,45,-0.08230000810136318
5490,24,45,-0.08191689019203763
5570,24,45,-0.16006177532566568
5580,24,45,0.03893819129120446
5593,24,45,0.10302205974589607
5670,24,45,-0.07836192301378886
5680,24,45,0.05582165331087663
5690,24,45,-0.002540151558455661
6070,24,48,-0.12475014820540387
6080,24,48,-0.00318906395967522
6090,24,48,-0.0512275625975952
6170,24,48,0.0366343672287186
6190,24,48,-0.26926961736390653
6270,24,48,0.06456367754336811
6280,24,48,-0.32435368830765843
6290,24,48,-0.020242878524650232
6370,24,49,-0.03408976647681605
6380,24,49,0.18910734210090674
6390,24,49,0.12245143353208177
0570,24,22,0.05347131057473842
0580,24,22,0.04742744578022706
0670,24,22,0.02814699269464549
0680,24,22,0.02814699269464549
6470,24,51,-0.10385771562420631
6490,24,51,-0.012195088809279664
6570,24,51,-0.4160764273676931
6590,24,51,-0.4160764273676931
6670,24,51,-0.0594859618929483
6672,24,51,0.025011873117949945
6680,24,51,-0.027542638034431466
6695,24,51,-0.029339523578333915
6770,24,51,0.01288222226728919
6780,24,51,0.01288222226728919
6970,24,52,0.01877158525415601
6991,24,52,0.01817377748586002
6992,24,52,0.012457160025519776
7072,24,53,-0.0020347641547776574
7080,24,53,-0.17176794764856562
7270,24,54,-0.008138035277691413
7280,24,54,0.011055878032517952
7290,24,54,0.008849300645018432
7370,24,54,-0.03818662165874542
7380,24,54,0.0015941428405031877
7390,24,54,-0.005602377243978496
7460,24,54,0.03831335604290642
7470,24,54,-0.06265586501311238
7480,24,54,0.0568329411052485
7570,24,55,-0.1435308147603328
7580,24,56,-0.1252107634157511
7590,24,56,-0.07476727416128548
7670,24,56,-0.27884225290162823
