state,industry,reference,percent_change_state_imputed
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10212300,97.4,0.1337015722481123
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10213000,314.5,-0.1188772416182966
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10210000,659.7,0.015984415641241978
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10113300,54.5,0.0919160665306511
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10211000,156.6,0.16539140837043453
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212100,50.4,0.04641220749468189
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212200,40.8,0.16347569955817398
24,10212300,97.4,0.1337015722481123
