state,puma,led_code,total_employed_pre,total_unemployed_post,percent_change_imputed,state_imputation
24,00100,11,706,-11.121844050208782,0.015753320184431704,0
24,00100,21,31,-1.4387784323351385,0.04641220749468188,0
24,00100,22,598,-25.73192622304682,0.043029976961616756,0
24,00100,23,3887,15.502042470051425,-0.00398817660665074,0
24,00100,31,506,20.03737219621616,-0.0395995497948936,0
24,00100,32,1245,-1.2386228383355802,9.948777817956468e-4,0
24,00100,33,2928,104.12192805293223,-0.03556076777764079,0
24,00100,42,961,6.955770201645483,-0.0072380543201305755,0
24,00100,44,2746,-11.17946242664561,0.004071180781735474,0
24,00100,45,2140,-212.7139373766688,0.09939903615732187,0
24,00100,48,1621,22.88205798969162,-0.014116013565509945,0
24,00100,49,591,-51.7628646323005,0.08758521934399408,0
24,00100,51,336,5.5852461261276165,-0.016622756327760762,0
24,00100,52,867,11.350489165307351,-0.01309168300496811,0
24,00100,53,478,16.31094964403093,-0.03412332561512747,0
24,00100,54,1140,-3.0079100338682827,0.002638517573568669,0
24,00100,56,2063,69.82144372068986,-0.03384461644240904,0
24,00100,61,4549,354.15676161420896,-0.07785376162106154,0
24,00100,62,7347,467.02286543237324,-0.06356647140770018,0
24,00100,71,667,165.38189305912655,-0.24794886515611178,0
24,00100,72,2864,564.3268682900593,-0.19704150429122183,0
24,00100,81,1744,92.03127832556743,-0.052770228397687746,0
24,00100,92,3558,142.91334024890008,-0.0401667622959247,0
24,00200,11,294,0,-0,0
24,00200,22,542,-23.207505854847035,0.04281827648495763,0
24,00200,23,5762,22.97987360752156,-0.00398817660665074,0
24,00200,31,453,17.092055735233995,-0.03773080736254745,0
24,00200,32,1206,30.125321795390107,-0.024979537143772892,0
24,00200,33,3162,188.184055454705,-0.059514249036908606,0
24,00200,42,1547,21.082408488556393,-0.013627930503268515,0
24,00200,44,5949,116.49955433991926,-0.019583048300541143,0
24,00200,45,3082,-104.38147895548366,0.03386809829833993,0
24,00200,48,2130,97.07469749478187,-0.04557497534966285,0
24,00200,49,2656,-380.7711954298174,0.14336264888170835,0
24,00200,51,1021,60.63687133526271,-0.0593896878895815,0
24,00200,52,3545,2.044753566637757,-5.76799313579057e-4,0
24,00200,53,653,35.13190755697676,-0.05380077726948968,0
24,00200,54,4072,30.528091249048188,-0.007497075454088455,0
24,00200,56,4022,132.1023478534435,-0.03284493979449117,0
24,00200,61,5324,454.63326054604033,-0.08539317440759586,0
24,00200,62,9635,661.1404253046496,-0.06861862224230925,0
24,00200,71,1094,313.336434372879,-0.2864135597558309,0
24,00200,72,3087,575.5107301710005,-0.18643042765500503,0
24,00200,81,3450,261.85124916661044,-0.07589891280191607,0
24,00200,92,4885,195.88746126935808,-0.04009978736322581,0
24,00200,55,57,8.18125644133897,-0.1435308147603328,0
24,00301,11,593,0,-0,0
24,00301,21,70,-9.359110057367861,0.1337015722481123,0
24,00301,22,412,-19.928261572744514,0.04836956692413717,0
24,00301,23,7332,29.241310879963223,-0.00398817660665074,0
24,00301,31,381,3.999380782576387,-0.010497062421460333,0
24,00301,32,1336,46.35200043781307,-0.03469461110614751,0
24,00301,33,2545,115.98548994028829,-0.04557386638125276,0
24,00301,42,839,0.37071650450266946,-4.418551901104523e-4,0
24,00301,44,4486,-68.08906625572443,0.015178124443986722,0
24,00301,45,1514,-122.85149039765666,0.08114365283861075,0
24,00301,48,1389,162.80967988497991,-0.11721359242979115,0
24,00301,49,935,-31.444412404055903,0.03363038759792075,0
24,00301,51,1548,80.18683373458549,-0.0518002801903007,0
24,00301,52,2509,-21.096669244472306,0.008408397466908054,0
24,00301,53,1576,46.05412364927335,-0.029222159675934868,0
24,00301,54,8908,-130.20528864867296,0.014616669134336884,0
24,00301,56,1970,125.38010989356674,-0.06364472583429784,0
24,00301,61,7298,642.6703648527821,-0.08806116262712826,0
24,00301,62,7415,564.0782108419686,-0.07607258406499913,0
24,00301,71,1024,306.98156080060596,-0.29978668046934176,0
24,00301,72,3776,709.7130257423354,-0.18795366147837272,0
24,00301,81,4117,278.7686254995476,-0.06771159230010873,0
24,00301,92,5492,220.86034539958163,-0.040214920866639046,0
24,00301,55,116,16.649574512198605,-0.1435308147603328,0
24,00302,11,129,0,-0,0
24,00302,21,308,-43.55682196159275,0.1414182531220544,0
24,00302,22,87,-4.652004020002242,0.05347131057473842,0
24,00302,23,5768,23.003802667161466,-0.00398817660665074,0
24,00302,31,393,9.106264384500125,-0.023171156194656806,0
24,00302,32,803,32.809480625842795,-0.040858630916367114,0
24,00302,33,1749,75.36973857438643,-0.04309304664058687,0
24,00302,42,513,9.36228704721446,-0.01825007221679232,0
24,00302,44,4771,-117.78980408854048,0.02468870343503259,0
24,00302,45,3317,-191.33585538713484,0.05768340530212084,0
24,00302,48,1353,94.15243109025161,-0.0695879017666309,0
24,00302,49,592,-44.66525226008505,0.07544806125014367,0
24,00302,51,1620,131.34086399563083,-0.08107460740471038,0
24,00302,52,3119,-4.021786643267108,0.0012894474649782326,0
24,00302,53,1524,69.93646339480058,-0.04589006784435734,0
24,00302,54,9518,-73.58836567397728,0.007731494607478176,0
24,00302,56,4355,224.78340056545068,-0.051615017351423806,0
24,00302,61,6076,555.0007409548244,-0.09134311075622523,0
24,00302,62,8701,557.6411021274107,-0.06408931181788423,0
24,00302,71,1139,359.1435113395831,-0.315314759736245,0
24,00302,72,5931,1123.6417645624795,-0.18945232921302976,0
24,00302,81,1881,149.46249248287742,-0.07945906033114164,0
24,00302,92,5311,215.5818032598567,-0.040591565290878685,0
24,00302,55,68,9.76009540370263,-0.1435308147603328,0
24,00400,11,933,0,-0,0
24,00400,21,116,-10.359309860328633,0.08930439534766063,0
24,00400,22,578,-26.73564750161353,0.04625544550452168,0
24,00400,23,9828,39.19579969016347,-0.00398817660665074,0
24,00400,31,399,20.351242857718802,-0.05100562119729023,0
24,00400,32,1630,70.1025358029561,-0.04300769067666018,0
24,00400,33,3442,148.2521468036203,-0.04307151272621159,0
24,00400,42,2269,32.46836850740636,-0.014309549804938898,0
24,00400,44,6314,-244.18863051032858,0.03867415750876284,0
24,00400,45,1986,-34.017286242148394,0.01712854292152487,0
24,00400,48,982,123.33667399978364,-0.12559742769835402,0
24,00400,49,558,-55.80861131530344,0.1000154324647015,0
24,00400,51,1825,131.3036112763415,-0.07194718426100905,0
24,00400,52,4460,-26.81688509211686,0.006012754504958937,0
24,00400,53,1622,68.08616773648158,-0.04197667554653612,0
24,00400,54,7071,-0.6087902373503505,8.609676670207192e-5,0
24,00400,56,3386,192.73709406952486,-0.0569217643442188,0
24,00400,61,9925,805.0639156269111,-0.08111475220422279,0
24,00400,62,12079,750.0614026054699,-0.062096316135894516,0
24,00400,71,1968,568.1222246279518,-0.2886799921889999,0
24,00400,72,3422,586.9289039159638,-0.17151633662067908,0
24,00400,81,4574,340.5603829966108,-0.07445570244788169,0
24,00400,92,8228,330.1410836406997,-0.04012409864374085,0
24,00400,55,64,9.1859721446613,-0.1435308147603328,0
24,00501,11,857,0,-0,0
24,00501,21,34,-4.545853456435818,0.1337015722481123,0
24,00501,22,439,-17.271233315640508,0.03934221711991004,0
24,00501,23,3954,15.769250302697024,-0.00398817660665074,0
24,00501,31,212,11.372514232389666,-0.05364393505844182,0
24,00501,32,1029,2.9650388517640347,-0.002881476046417915,0
24,00501,33,3140,120.79021989525512,-0.038468222896578065,0
24,00501,42,1304,-0.18956771566441244,1.4537401508007088e-4,0
24,00501,44,4710,-61.214700079480444,0.012996751609231517,0
24,00501,45,551,-39.68368079280271,0.07202119926098496,0
24,00501,48,1206,65.35650330801913,-0.05419278881261951,0
24,00501,49,321,-5.573770995693534,0.017363772572254,0
24,00501,51,1592,82.88505637718215,-0.052063477623858136,0
24,00501,52,2696,-22.058681883095367,0.008182003665836561,0
24,00501,53,2539,110.37908937096714,-0.04347344992948686,0
24,00501,54,5517,-4.7670866416537905,8.640722569609916e-4,0
24,00501,56,1838,79.11426692163914,-0.04304367079523348,0
24,00501,61,5602,450.8491933880628,-0.08048004166156066,0
24,00501,62,10333,575.7974060390602,-0.05572412716917258,0
24,00501,71,1555,522.135369421374,-0.33577837261824695,0
24,00501,72,2738,487.9199935367864,-0.17820306557223756,0
24,00501,81,3344,275.27381423145533,-0.08231872435151176,0
24,00501,92,4290,172.2889355248167,-0.04016059103142581,0
24,00501,55,35,5.023578516611648,-0.1435308147603328,0
24,00502,21,116,-5.3838160693831,0.0464122074946819,0
24,00502,22,527,-24.38291762208072,0.04626739586732584,0
24,00502,23,2998,11.956553466738917,-0.00398817660665074,0
24,00502,31,318,23.567674889487563,-0.0741121851870678,0
24,00502,32,476,-1.6755863642917346,0.003520139420780955,0
24,00502,33,1555,51.994110876812776,-0.03343672725196963,0
24,00502,42,932,15.68047171025288,-0.01682454046164472,0
24,00502,44,5481,-81.44214546865227,0.014858993882257301,0
24,00502,45,2745,-262.9806037881656,0.09580349864778345,0
24,00502,48,1514,177.71261148779053,-0.11737953202628172,0
24,00502,49,1182,-156.67393126650327,0.1325498572474647,0
24,00502,51,670,83.2423665749203,-0.12424233817152283,0
24,00502,52,4401,-35.534081176738184,0.008074092519140692,0
24,00502,53,1516,107.60718677305422,-0.07098099391362415,0
24,00502,54,6164,-9.902484503653367,0.0016065030018905528,0
24,00502,56,3183,236.59957688752036,-0.07433225789743021,0
24,00502,61,7963,659.2561497263583,-0.08278992210553288,0
24,00502,62,14604,896.1765969558365,-0.0613651463267486,0
24,00502,71,1996,675.0679495613729,-0.3382103955718301,0
24,00502,72,3341,595.3764420768457,-0.17820306557223756,0
24,00502,81,2630,266.5879091970069,-0.10136422402928019,0
24,00502,92,6959,278.9542609949293,-0.04008539459619619,0
24,00503,11,0,0,0,0
24,00503,22,184,-5.40060236804858,0.02935109982635098,0
24,00503,23,1830,7.2983631901708534,-0.00398817660665074,0
24,00503,31,561,30.145276948629864,-0.05373489652162186,0
24,00503,32,1535,-15.189664148587847,0.00989554667660446,0
24,00503,33,1243,35.17779831823478,-0.02830072270171744,0
24,00503,42,1363,61.27485334990532,-0.044955871863466855,0
24,00503,44,2712,38.912223794243936,-0.014348165115871657,0
24,00503,45,2114,-111.71045326508883,0.0528431661613476,0
24,00503,48,575,80.15697361934882,-0.1394034323814762,0
24,00503,49,206,-38.956112472786785,0.1891073421009067,0
24,00503,51,1803,122.21123441646317,-0.06778215996476049,0
24,00503,52,3180,-25.99779384849207,0.00817540687059499,0
24,00503,53,1347,39.34028700404388,-0.029205855236855146,0
24,00503,54,6583,74.9517223169932,-0.011385648232871517,0
24,00503,56,2379,184.6452882704582,-0.0776146650989736,0
24,00503,61,8007,635.3462650120011,-0.07934885288022994,0
24,00503,62,12304,810.2311368231015,-0.06585103517743023,0
24,00503,71,1950,467.10908942377773,-0.23954312278142448,0
24,00503,72,2007,387.93444209446744,-0.1932907035846873,0
24,00503,81,2920,220.2569241319491,-0.07543045346984557,0
24,00503,92,4433,177.69855424493772,-0.04008539459619619,0
24,00503,55,74,10.621280292264627,-0.1435308147603328,0
24,00504,21,101,12.006601403447958,-0.1188772416182966,0
24,00504,22,966,-25.416787485302834,0.026311374208388028,0
24,00504,23,1705,6.799841114339511,-0.00398817660665074,0
24,00504,31,352,18.18077974801464,-0.05164994246595068,0
24,00504,32,787,22.231907026014596,-0.028248928876765687,0
24,00504,33,668,20.768252963623784,-0.031090199047340995,0
24,00504,42,1686,33.695318803008135,-0.019985361093124637,0
24,00504,44,4718,-94.51378390453397,0.020032595147209405,0
24,00504,45,962,23.563988982216316,-0.0244947910418049,0
24,00504,48,1282,138.7199446486527,-0.10820588506135156,0
24,00504,49,930,-128.4874423017734,0.13815854010943376,0
24,00504,51,1283,48.38939586259984,-0.0377158190667185,0
24,00504,52,4464,-47.72549818579903,0.010691195830152113,0
24,00504,53,1142,94.62818847246261,-0.08286181127185868,0
24,00504,54,5831,7.0647415962084334,-0.001211583192627068,0
24,00504,56,2419,122.41758578010797,-0.05060669110380652,0
24,00504,61,10058,803.872236758276,-0.07992366641064585,0
24,00504,62,9749,539.765059483252,-0.055366197505718744,0
24,00504,71,1586,445.3238861024222,-0.280784291363444,0
24,00504,72,3964,751.3923996230958,-0.18955408668594748,0
